iter	Passed	Remaining
0	25	25396
1	48	24020
2	71	23852
3	100	25065
4	122	24465
5	145	24073
6	166	23669
7	188	23384
8	211	23299
9	235	23278
10	259	23315
11	285	23480
12	309	23460
13	334	23545
14	359	23574
15	381	23437
16	405	23439
17	428	23366
18	450	23266
19	473	23179
20	496	23141
21	520	23126
22	545	23158
23	566	23034
24	591	23082
25	616	23085
26	638	22996
27	661	22959
28	685	22958
29	708	22908
30	735	22989
31	757	22905
32	783	22971
33	807	22954
34	832	22944
35	856	22934
36	878	22874
37	901	22819
38	926	22830
39	948	22772
40	972	22745
41	994	22685
42	1017	22635
43	1040	22613
44	1063	22573
45	1090	22618
46	1118	22675
47	1144	22694
48	1167	22651
49	1189	22593
50	1213	22574
51	1236	22551
52	1261	22537
53	1285	22524
54	1309	22495
55	1332	22456
56	1355	22428
57	1383	22464
58	1408	22460
59	1432	22448
60	1457	22436
61	1483	22443
62	1508	22434
63	1531	22399
64	1557	22408
65	1582	22397
66	1606	22366
67	1628	22319
68	1652	22291
69	1673	22239
70	1696	22193
71	1719	22161
72	1742	22125
73	1765	22098
74	1790	22085
75	1815	22072
76	1836	22019
77	1858	21973
78	1881	21940
79	1907	21938
80	1930	21903
81	1952	21862
82	1977	21846
83	2004	21863
84	2035	21911
85	2061	21911
86	2086	21897
87	2113	21899
88	2137	21877
89	2161	21856
90	2185	21833
91	2210	21813
92	2234	21787
93	2260	21786
94	2287	21792
95	2311	21769
96	2335	21744
97	2359	21721
98	2384	21699
99	2408	21674
100	2433	21657
101	2459	21650
102	2482	21617
103	2503	21568
104	2530	21573
105	2554	21544
106	2576	21506
107	2600	21474
108	2622	21435
109	2645	21404
110	2668	21370
111	2691	21337
112	2714	21304
113	2735	21263
114	2760	21241
115	2782	21207
116	2806	21179
117	2829	21150
118	2851	21112
119	2874	21078
120	2903	21089
121	2924	21049
122	2951	21046
123	2979	21045
124	3004	21031
125	3033	21039
126	3058	21026
127	3083	21009
128	3107	20983
129	3132	20963
130	3157	20946
131	3180	20916
132	3214	20951
133	3238	20932
134	3261	20900
135	3287	20884
136	3311	20860
137	3337	20848
138	3360	20816
139	3395	20860
140	3422	20849
141	3448	20835
142	3472	20809
143	3495	20780
144	3519	20751
